epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,341.464,0.82797,0.72824,1.06823,0.91872,0.95143,0.95232,0.68677,0.91227,0.56141,1.03635,0.000419451,0.000419451,0.000419451
14,368.135,0.81129,0.71141,1.06855,0.90808,0.94803,0.95251,0.6753,0.97094,0.55661,1.06014,0.000414739,0.000414739,0.000414739
15,394.187,0.82032,0.67671,1.06881,0.91806,0.95118,0.95747,0.69237,0.94938,0.55545,1.04551,0.000410026,0.000410026,0.000410026
16,421.002,0.7994,0.66171,1.06051,0.9189,0.94271,0.95683,0.69506,0.90092,0.53155,1.02218,0.000405314,0.000405314,0.000405314
17,447.654,0.81593,0.6832,1.07943,0.92117,0.94784,0.95955,0.70166,0.92104,0.55264,1.0433,0.000400602,0.000400602,0.000400602
18,474.072,0.77251,0.61934,1.0484,0.91853,0.95525,0.96064,0.70105,0.9393,0.53611,1.0406,0.000395889,0.000395889,0.000395889
19,499.827,0.77341,0.62043,1.04398,0.93874,0.94503,0.95967,0.69879,0.93036,0.53162,1.04437,0.000391177,0.000391177,0.000391177
20,525.578,0.77792,0.61432,1.04177,0.9093,0.94759,0.94986,0.69849,0.89851,0.51673,1.0036,0.000386464,0.000386464,0.000386464
21,551.541,0.77585,0.6097,1.04721,0.93048,0.95007,0.95591,0.7109,0.89613,0.4998,1.00445,0.000381752,0.000381752,0.000381752
22,577.945,0.75136,0.59881,1.04766,0.94446,0.93713,0.95663,0.70853,0.90331,0.52861,1.00545,0.00037704,0.00037704,0.00037704
23,604.024,0.75636,0.57145,1.02961,0.91805,0.9495,0.9493,0.70358,0.86671,0.50429,0.99357,0.000372327,0.000372327,0.000372327
24,629.765,0.76257,0.57526,1.04455,0.94347,0.95425,0.97025,0.71286,0.92447,0.49319,1.01249,0.000367615,0.000367615,0.000367615
25,656.098,0.76022,0.57474,1.02404,0.92428,0.96348,0.95913,0.70966,0.89192,0.47659,1.01144,0.000362902,0.000362902,0.000362902
26,681.842,0.74498,0.56427,1.03826,0.92991,0.9583,0.95543,0.7165,0.8768,0.47703,0.99126,0.00035819,0.00035819,0.00035819
27,708.058,0.73623,0.56612,1.03341,0.93814,0.95304,0.95863,0.70599,0.87611,0.48359,0.98288,0.000353478,0.000353478,0.000353478
28,734.088,0.74562,0.54912,1.03489,0.92798,0.95624,0.9625,0.68849,0.93003,0.50926,1.02695,0.000348765,0.000348765,0.000348765
29,759.916,0.74249,0.54636,1.03145,0.9354,0.96082,0.96615,0.71996,0.89052,0.49437,1.01632,0.000344053,0.000344053,0.000344053
30,786.074,0.73772,0.55783,1.02209,0.91957,0.96417,0.96738,0.72071,0.86312,0.48158,0.99978,0.00033934,0.00033934,0.00033934
31,812.596,0.73636,0.55858,1.02578,0.92072,0.94874,0.96,0.70147,0.92495,0.49505,1.01352,0.000334628,0.000334628,0.000334628
32,838.557,0.72796,0.51778,1.02536,0.94299,0.95452,0.96066,0.70927,0.88677,0.47142,1.00311,0.000329916,0.000329916,0.000329916
33,864.825,0.73497,0.52491,1.01947,0.9309,0.94905,0.95688,0.7022,0.89272,0.49677,0.99989,0.000325203,0.000325203,0.000325203
34,891.123,0.7211,0.53212,1.02386,0.93308,0.94879,0.94921,0.70376,0.86783,0.50368,0.98853,0.000320491,0.000320491,0.000320491
35,917.506,0.70549,0.51288,1.01218,0.91449,0.96517,0.96233,0.71348,0.89247,0.48263,0.99643,0.000315778,0.000315778,0.000315778
36,943.816,0.71205,0.5091,1.00713,0.93356,0.94612,0.95239,0.71105,0.90001,0.47369,1.00247,0.000311066,0.000311066,0.000311066
37,970.209,0.69721,0.52068,1.01412,0.92863,0.94805,0.94917,0.70825,0.85101,0.496,0.97817,0.000306354,0.000306354,0.000306354
38,996.531,0.69687,0.51228,1.00615,0.93393,0.9582,0.96099,0.70369,0.92411,0.48317,1.01841,0.000301641,0.000301641,0.000301641
39,1022.88,0.69354,0.49648,1.01437,0.93508,0.95345,0.95112,0.71267,0.87603,0.47853,0.99157,0.000296929,0.000296929,0.000296929
40,1049.25,0.69774,0.49699,1.00909,0.93477,0.95965,0.95766,0.69456,0.94012,0.48123,1.0296,0.000292216,0.000292216,0.000292216
41,1075.44,0.68751,0.49353,0.99457,0.9344,0.95407,0.95425,0.70983,0.89581,0.47676,1.01839,0.000287504,0.000287504,0.000287504
42,1101.81,0.69564,0.50625,1.01814,0.93377,0.96255,0.95763,0.70753,0.91074,0.47725,0.98878,0.000282792,0.000282792,0.000282792
43,1128.1,0.69973,0.47329,1.0065,0.93043,0.96175,0.95036,0.71441,0.85666,0.46685,0.98895,0.000278079,0.000278079,0.000278079
44,1154.44,0.70346,0.47348,1.00083,0.94307,0.95624,0.94529,0.69289,0.899,0.47575,0.99931,0.000273367,0.000273367,0.000273367
45,1180.83,0.68743,0.47638,1.00248,0.94004,0.94409,0.95,0.70147,0.8776,0.47748,0.99142,0.000268654,0.000268654,0.000268654
46,1207.48,0.68982,0.46814,1.01025,0.93486,0.95559,0.95763,0.70232,0.90434,0.45356,1.0032,0.000263942,0.000263942,0.000263942
47,1233.86,0.67107,0.46502,0.99184,0.94059,0.95936,0.94998,0.69389,0.9092,0.46515,0.99378,0.00025923,0.00025923,0.00025923
48,1260.19,0.66431,0.46364,0.99515,0.92802,0.95056,0.95637,0.71593,0.86659,0.47691,0.98905,0.000254517,0.000254517,0.000254517
49,1286.57,0.67356,0.47125,0.99806,0.92938,0.94512,0.94739,0.69521,0.91319,0.47772,1.00424,0.000249805,0.000249805,0.000249805
50,1312.92,0.65913,0.45228,0.98943,0.93425,0.95455,0.94295,0.70355,0.87223,0.46581,0.98937,0.000245092,0.000245092,0.000245092
51,1339.29,0.65845,0.46896,0.99112,0.93579,0.93861,0.95516,0.70783,0.86014,0.46702,0.98613,0.00024038,0.00024038,0.00024038
52,1365.63,0.65932,0.45634,1.00104,0.93339,0.95065,0.94974,0.70582,0.87135,0.4702,0.98978,0.000235668,0.000235668,0.000235668
53,1392.04,0.66993,0.45629,0.99363,0.93303,0.96141,0.95343,0.71857,0.85557,0.45181,0.97766,0.000230955,0.000230955,0.000230955
54,1418.13,0.6478,0.43993,0.99792,0.93123,0.95955,0.94604,0.70747,0.87918,0.47881,0.99333,0.000226243,0.000226243,0.000226243
55,1444.34,0.66148,0.45972,0.98205,0.93371,0.947,0.94359,0.70371,0.88501,0.47555,0.99066,0.00022153,0.00022153,0.00022153
56,1470.4,0.6313,0.44247,0.98239,0.93663,0.94726,0.94507,0.70572,0.88537,0.46434,0.99959,0.000216818,0.000216818,0.000216818
57,1496.54,0.6406,0.44087,0.97362,0.92973,0.94545,0.93755,0.6981,0.85909,0.45776,0.9811,0.000212106,0.000212106,0.000212106
58,1522.9,0.63974,0.43254,0.98053,0.93691,0.94971,0.9477,0.70127,0.87927,0.4477,0.99129,0.000207393,0.000207393,0.000207393
59,1549.32,0.63637,0.4193,0.98398,0.94162,0.96022,0.95661,0.70979,0.86437,0.44928,0.9814,0.000202681,0.000202681,0.000202681
60,1575.68,0.65185,0.42282,0.97844,0.93054,0.94279,0.95495,0.7165,0.84416,0.45205,0.97406,0.000197968,0.000197968,0.000197968
61,1602.3,0.63406,0.42032,0.97511,0.93229,0.95076,0.94061,0.70011,0.8537,0.46716,0.98156,0.000193256,0.000193256,0.000193256
62,1628.71,0.62761,0.42063,0.96814,0.94057,0.95287,0.94339,0.70264,0.87242,0.4748,0.99114,0.000188544,0.000188544,0.000188544
63,1655.11,0.6317,0.4044,0.97611,0.93268,0.95568,0.95471,0.71512,0.8657,0.45649,0.98284,0.000183831,0.000183831,0.000183831
64,1681.45,0.62752,0.40874,0.9675,0.92972,0.94991,0.94746,0.7049,0.87449,0.47539,0.98764,0.000179119,0.000179119,0.000179119
65,1707.85,0.62658,0.41449,0.97797,0.93787,0.94315,0.95091,0.71895,0.85216,0.45792,0.97209,0.000174406,0.000174406,0.000174406
66,1734.21,0.60722,0.4007,0.9687,0.93678,0.94498,0.94864,0.70982,0.8494,0.45394,0.96571,0.000169694,0.000169694,0.000169694
67,1760.58,0.61483,0.39978,0.96438,0.93179,0.94988,0.94778,0.70228,0.86607,0.4638,0.98181,0.000164982,0.000164982,0.000164982
68,1787.14,0.61792,0.40311,0.97059,0.92793,0.95613,0.94664,0.69831,0.86865,0.45091,0.98164,0.000160269,0.000160269,0.000160269
69,1813.47,0.61116,0.39656,0.9664,0.93503,0.94957,0.95068,0.7062,0.86889,0.46078,0.97071,0.000155557,0.000155557,0.000155557
70,1839.84,0.60101,0.37849,0.95565,0.93841,0.94579,0.95255,0.70755,0.8575,0.44265,0.97139,0.000150844,0.000150844,0.000150844
71,1866.21,0.58927,0.39432,0.96447,0.9401,0.94616,0.94421,0.70187,0.85405,0.45687,0.97174,0.000146132,0.000146132,0.000146132
72,1892.54,0.59311,0.38187,0.95806,0.93155,0.93787,0.94081,0.69475,0.8909,0.46887,0.99324,0.00014142,0.00014142,0.00014142
73,1918.89,0.60278,0.37598,0.95848,0.93583,0.95124,0.94222,0.69835,0.88484,0.44561,0.98894,0.000136707,0.000136707,0.000136707
74,1945.18,0.58984,0.38068,0.95856,0.93219,0.9496,0.94773,0.70854,0.87006,0.4558,0.97783,0.000131995,0.000131995,0.000131995
75,1971.24,0.59865,0.3804,0.95545,0.93332,0.94439,0.94344,0.70015,0.89417,0.45757,0.98927,0.000127282,0.000127282,0.000127282
76,1997.6,0.59492,0.38658,0.96624,0.91419,0.95144,0.95138,0.71404,0.87438,0.46737,0.98348,0.00012257,0.00012257,0.00012257
77,2023.69,0.5789,0.37335,0.95578,0.93846,0.95364,0.94893,0.70343,0.89159,0.4655,0.99533,0.000117858,0.000117858,0.000117858
78,2049.35,0.58376,0.37137,0.95231,0.94209,0.95281,0.93994,0.69645,0.86375,0.45763,0.9835,0.000113145,0.000113145,0.000113145
79,2074.87,0.56588,0.35616,0.94359,0.93362,0.95181,0.94047,0.692,0.86797,0.4609,0.98078,0.000108433,0.000108433,0.000108433
80,2100.53,0.57965,0.37361,0.95175,0.94118,0.9578,0.94448,0.70471,0.8717,0.44457,0.98928,0.00010372,0.00010372,0.00010372
81,2126.44,0.56677,0.35602,0.93894,0.93213,0.94711,0.95068,0.71372,0.85794,0.44862,0.97524,9.9008e-05,9.9008e-05,9.9008e-05
82,2152.35,inf,0.36524,0.94687,0.93148,0.93998,0.94811,0.6976,0.87072,0.44456,0.97621,9.42956e-05,9.42956e-05,9.42956e-05
83,2178.52,0.56172,0.35835,0.94183,0.94194,0.94965,0.95087,0.7023,0.87922,0.45232,0.98471,8.95832e-05,8.95832e-05,8.95832e-05
84,2204.41,0.5613,0.35763,0.94728,0.91814,0.95267,0.94581,0.70869,0.87674,0.4671,0.98101,8.48708e-05,8.48708e-05,8.48708e-05
85,2230.48,0.5685,0.35433,0.94136,0.93289,0.94091,0.94375,0.69898,0.87861,0.45453,0.97882,8.01584e-05,8.01584e-05,8.01584e-05
86,2256.47,0.55496,0.34667,0.93734,0.93339,0.94392,0.94333,0.70073,0.86331,0.45113,0.9711,7.5446e-05,7.5446e-05,7.5446e-05
87,2282.27,0.54884,0.34639,0.94207,0.93319,0.94619,0.94545,0.69755,0.87571,0.45063,0.97768,7.07336e-05,7.07336e-05,7.07336e-05
88,2308.06,0.53622,0.33606,0.93418,0.94163,0.94921,0.94812,0.70373,0.86597,0.44973,0.97798,6.60212e-05,6.60212e-05,6.60212e-05
89,2333.98,0.55429,0.35204,0.93377,0.93914,0.95399,0.94655,0.70517,0.86372,0.44349,0.9751,6.13088e-05,6.13088e-05,6.13088e-05
90,2359.75,0.54104,0.34441,0.93397,0.9334,0.94645,0.9521,0.70559,0.87938,0.44952,0.977,5.65964e-05,5.65964e-05,5.65964e-05
91,2386.28,0.60852,0.33275,0.97501,0.93448,0.95709,0.94863,0.70256,0.88887,0.44816,0.99183,5.1884e-05,5.1884e-05,5.1884e-05
92,2412.36,0.60041,0.3235,0.98675,0.93579,0.95311,0.9442,0.70302,0.87862,0.45624,0.9818,4.71716e-05,4.71716e-05,4.71716e-05
93,2438.15,0.5973,0.32241,0.99421,0.93848,0.9414,0.94913,0.70503,0.88251,0.46178,0.97732,4.24592e-05,4.24592e-05,4.24592e-05
94,2463.71,0.59521,0.32267,0.98803,0.93601,0.94846,0.95095,0.7078,0.87754,0.44996,0.98119,3.77468e-05,3.77468e-05,3.77468e-05
95,2489.34,0.5821,0.31771,0.97182,0.93263,0.947,0.94972,0.71232,0.86123,0.4473,0.97808,3.30344e-05,3.30344e-05,3.30344e-05
96,2515.11,0.58212,0.31253,0.97634,0.93661,0.94617,0.95252,0.7115,0.87459,0.46061,0.97938,2.8322e-05,2.8322e-05,2.8322e-05
97,2541.13,0.57526,0.30679,0.97942,0.94036,0.94183,0.95217,0.70749,0.86795,0.45465,0.97852,2.36096e-05,2.36096e-05,2.36096e-05
98,2567.33,0.56695,0.29819,0.97066,0.93754,0.93798,0.94842,0.70838,0.86198,0.45717,0.97396,1.88972e-05,1.88972e-05,1.88972e-05
99,2593.3,0.56658,0.3112,0.96753,0.93313,0.94426,0.94792,0.7088,0.86743,0.45878,0.97521,1.41848e-05,1.41848e-05,1.41848e-05
100,2619.11,0.56003,0.30454,0.96118,0.93221,0.94182,0.9473,0.70414,0.86349,0.45434,0.97686,9.4724e-06,9.4724e-06,9.4724e-06
