epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6922,1.06423,2.13349,1.20313,0.74401,0.71506,0.79277,0.52614,1.10219,1.21678,1.12895,0.000157198,0.000157198,0.000157198
2,53.7267,0.99463,1.19348,1.12946,0.7003,0.78295,0.84431,0.56557,1.07747,0.98918,1.10144,0.000312737,0.000312737,0.000312737
3,76.727,0.95692,1.11647,1.13913,0.75444,0.71791,0.82324,0.51299,1.20116,1.13845,1.21172,0.000465135,0.000465135,0.000465135
4,99.4421,0.95295,1.06486,1.15053,0.82669,0.87727,0.92715,0.61599,1.10222,1.08016,1.20784,0.000461863,0.000461863,0.000461863
5,122.967,0.92948,0.96561,1.12646,0.81808,0.85697,0.89468,0.59171,1.05879,0.81488,1.12557,0.00045715,0.00045715,0.00045715
6,145.849,0.92057,0.92115,1.11232,0.86107,0.87475,0.93238,0.64437,1.02213,0.69858,1.09617,0.000452438,0.000452438,0.000452438
7,169.034,0.89487,0.87275,1.10445,0.86294,0.87619,0.92749,0.62674,1.05688,0.70857,1.09747,0.000447726,0.000447726,0.000447726
8,192.017,0.89045,0.84562,1.09584,0.87354,0.90425,0.92657,0.6361,0.98762,0.73978,1.08116,0.000443013,0.000443013,0.000443013
9,215.456,0.86474,0.79497,1.08371,0.89795,0.9274,0.94389,0.6708,0.96199,0.61984,1.03456,0.000438301,0.000438301,0.000438301
10,238.75,0.84214,0.76892,1.07735,0.89626,0.89124,0.93041,0.66415,0.96748,0.64793,1.10667,0.000433588,0.000433588,0.000433588
11,261.861,0.85453,0.76591,1.08571,0.86502,0.93249,0.9369,0.6698,0.96214,0.64516,1.08054,0.000428876,0.000428876,0.000428876
12,285.018,0.84444,0.75909,1.08501,0.85638,0.91571,0.91188,0.60195,1.13398,0.64031,1.11938,0.000424164,0.000424164,0.000424164
13,308.532,0.84826,0.75453,1.07534,0.90619,0.93604,0.94911,0.67958,0.93935,0.58573,1.04628,0.000419451,0.000419451,0.000419451
14,331.911,0.81853,0.72561,1.06388,0.93097,0.9279,0.9535,0.68101,0.96073,0.62999,1.04046,0.000414739,0.000414739,0.000414739
15,355.375,0.83648,0.7086,1.0736,0.91195,0.93266,0.93853,0.67814,0.9478,0.62608,1.05516,0.000410026,0.000410026,0.000410026
16,378.549,0.80474,0.68579,1.05986,0.8915,0.93747,0.95426,0.70477,0.93632,0.56293,1.05993,0.000405314,0.000405314,0.000405314
17,402.375,0.82207,0.70077,1.07887,0.89084,0.96339,0.93917,0.61228,1.08281,0.6247,1.09907,0.000400602,0.000400602,0.000400602
18,425.635,0.7834,0.63569,1.05178,0.91019,0.95765,0.96379,0.71079,0.92899,0.53402,1.01837,0.000395889,0.000395889,0.000395889
19,449.144,0.7853,0.63498,1.04657,0.92904,0.94248,0.95506,0.70134,0.90332,0.5448,1.01452,0.000391177,0.000391177,0.000391177
20,472.361,0.78848,0.63897,1.04232,0.92674,0.93966,0.9417,0.6808,0.93659,0.58568,1.0302,0.000386464,0.000386464,0.000386464
21,496.052,0.78621,0.62884,1.04893,0.91879,0.94798,0.94986,0.69281,0.92038,0.53808,1.02621,0.000381752,0.000381752,0.000381752
22,519.246,0.76792,0.61347,1.04725,0.92064,0.94065,0.94421,0.695,0.9191,0.55146,1.00782,0.00037704,0.00037704,0.00037704
23,542.502,0.76779,0.5873,1.03116,0.92287,0.94964,0.95228,0.69445,0.9533,0.53158,1.02661,0.000372327,0.000372327,0.000372327
24,565.777,0.77101,0.58659,1.04597,0.91852,0.95584,0.95884,0.70034,0.90355,0.52859,1.01749,0.000367615,0.000367615,0.000367615
25,589.349,0.7723,0.59901,1.02669,0.90686,0.96326,0.9583,0.70459,0.89561,0.53804,1.0146,0.000362902,0.000362902,0.000362902
26,612.621,0.76144,0.57803,1.04035,0.91088,0.93553,0.94699,0.70445,0.87631,0.54351,0.99555,0.00035819,0.00035819,0.00035819
27,635.908,0.74614,0.59653,1.04013,0.93046,0.94657,0.96068,0.7149,0.89115,0.52159,0.991,0.000353478,0.000353478,0.000353478
28,659.469,0.75541,0.57819,1.03811,0.93,0.95873,0.95294,0.68258,0.9159,0.51191,1.00829,0.000348765,0.000348765,0.000348765
29,683.152,0.74841,0.56758,1.033,0.93086,0.94786,0.96849,0.71959,0.9111,0.50567,1.02405,0.000344053,0.000344053,0.000344053
30,706.749,0.74879,0.57314,1.02489,0.93179,0.94455,0.95594,0.71822,0.87103,0.51793,0.99071,0.00033934,0.00033934,0.00033934
31,730.193,0.74325,0.57552,1.02585,0.93188,0.95364,0.95589,0.69796,0.90511,0.5295,1.00605,0.000334628,0.000334628,0.000334628
32,753.595,0.73824,0.54135,1.02623,0.92729,0.95228,0.95197,0.69701,0.89703,0.51355,0.99659,0.000329916,0.000329916,0.000329916
33,777.289,0.75061,0.5459,1.02499,0.91835,0.95407,0.95248,0.69984,0.88631,0.50823,0.97791,0.000325203,0.000325203,0.000325203
34,800.669,0.7323,0.55298,1.02421,0.92671,0.95547,0.93867,0.70421,0.86553,0.49329,0.99009,0.000320491,0.000320491,0.000320491
35,824.111,0.71647,0.53013,1.01482,0.92034,0.94986,0.94884,0.68331,0.90521,0.51915,1.01776,0.000315778,0.000315778,0.000315778
36,847.483,0.73157,0.53716,1.01189,0.92467,0.96097,0.96692,0.71736,0.90075,0.51223,1.00628,0.000311066,0.000311066,0.000311066
37,871.188,0.71757,0.5363,1.01991,0.92768,0.95512,0.95897,0.70814,0.88562,0.51539,1.00559,0.000306354,0.000306354,0.000306354
38,894.597,0.71226,0.52682,1.01173,0.91989,0.96162,0.95921,0.69932,0.91078,0.51357,1.02528,0.000301641,0.000301641,0.000301641
39,918.035,0.71702,0.5149,1.02058,0.92852,0.9667,0.96406,0.72727,0.88796,0.49882,0.99417,0.000296929,0.000296929,0.000296929
40,941.659,0.71457,0.5147,1.01482,0.93777,0.95808,0.95474,0.70927,0.88614,0.48814,0.99928,0.000292216,0.000292216,0.000292216
41,965.378,0.7106,0.51601,1.00299,0.93481,0.96287,0.95707,0.71137,0.86394,0.47276,1.00212,0.000287504,0.000287504,0.000287504
42,988.714,0.71658,0.52999,1.02216,0.94266,0.95314,0.95696,0.71656,0.89985,0.48885,0.99864,0.000282792,0.000282792,0.000282792
