epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1012.1,0.71639,0.49201,1.01023,0.9342,0.95045,0.95768,0.72313,0.86382,0.5061,1.00563,0.000278079,0.000278079,0.000278079
44,1035.5,0.72329,0.4943,1.00427,0.93599,0.96042,0.95788,0.70352,0.90775,0.51059,1.00347,0.000273367,0.000273367,0.000273367
45,1059.16,0.70796,0.4891,1.00559,0.94035,0.95991,0.95505,0.70683,0.88522,0.50791,0.99701,0.000268654,0.000268654,0.000268654
46,1082.49,0.69851,0.48497,1.00985,0.92806,0.95563,0.95718,0.6935,0.95701,0.51111,1.03286,0.000263942,0.000263942,0.000263942
47,1105.91,0.69417,0.48085,0.99916,0.93089,0.94684,0.95284,0.69703,0.94391,0.49332,1.01166,0.00025923,0.00025923,0.00025923
48,1129.24,0.68046,0.47721,0.99886,0.91638,0.96138,0.95455,0.71872,0.89239,0.49294,1.00371,0.000254517,0.000254517,0.000254517
49,1152.95,0.67844,0.48248,0.99638,0.94426,0.96624,0.963,0.71474,0.88775,0.49332,1.00344,0.000249805,0.000249805,0.000249805
50,1176.3,0.68434,0.47478,0.99557,0.94365,0.96865,0.96536,0.7231,0.89701,0.47212,1.01377,0.000245092,0.000245092,0.000245092
51,1199.7,0.679,0.49087,0.99656,0.94688,0.96186,0.96434,0.7174,0.90845,0.49748,1.02381,0.00024038,0.00024038,0.00024038
52,1223.08,0.67891,0.47134,1.00335,0.92183,0.96058,0.94912,0.71322,0.8891,0.50302,1.0052,0.000235668,0.000235668,0.000235668
53,1246.49,0.67475,0.47369,0.99352,0.93695,0.95648,0.96011,0.71104,0.87651,0.48661,1.00212,0.000230955,0.000230955,0.000230955
54,1270.13,0.66548,0.46191,1.00044,0.93126,0.96229,0.95577,0.70572,0.89447,0.48989,1.00469,0.000226243,0.000226243,0.000226243
55,1293.5,0.68388,0.47868,0.9871,0.93725,0.95913,0.95857,0.70818,0.90015,0.49488,1.00983,0.00022153,0.00022153,0.00022153
56,1316.84,0.64854,0.46167,0.9851,0.94321,0.95749,0.96145,0.72112,0.88508,0.46958,0.99922,0.000216818,0.000216818,0.000216818
57,1340.22,0.66275,0.45816,0.98203,0.93754,0.95189,0.95766,0.69601,0.90677,0.49871,1.01544,0.000212106,0.000212106,0.000212106
58,1363.89,0.65499,0.4538,0.98532,0.94205,0.96663,0.96271,0.71384,0.90546,0.47775,1.00888,0.000207393,0.000207393,0.000207393
59,1387.28,0.64981,0.4421,0.98527,0.93916,0.96358,0.95599,0.7209,0.86005,0.48078,0.98914,0.000202681,0.000202681,0.000202681
60,1410.64,0.67077,0.45002,0.97996,0.93601,0.9594,0.96062,0.71651,0.88574,0.48601,0.99712,0.000197968,0.000197968,0.000197968
61,1434,0.65547,0.44733,0.97781,0.92928,0.96406,0.9486,0.70701,0.8828,0.48057,0.9928,0.000193256,0.000193256,0.000193256
62,1457.64,0.64384,0.44241,0.97049,0.93657,0.96529,0.95865,0.7142,0.88431,0.46149,1.0084,0.000188544,0.000188544,0.000188544
63,1481.06,0.6447,0.42928,0.97752,0.9406,0.9422,0.94904,0.70878,0.87052,0.46647,0.99267,0.000183831,0.000183831,0.000183831
64,1504.39,0.65223,0.43326,0.97162,0.93765,0.95356,0.95332,0.71421,0.86989,0.4779,0.98973,0.000179119,0.000179119,0.000179119
65,1527.79,0.64532,0.43522,0.98159,0.93492,0.9566,0.9574,0.71543,0.8933,0.46815,1.00261,0.000174406,0.000174406,0.000174406
66,1551.44,0.63201,0.42116,0.97549,0.93601,0.9373,0.95179,0.71449,0.85859,0.48227,0.97779,0.000169694,0.000169694,0.000169694
67,1574.83,0.6363,0.42659,0.96685,0.93587,0.95948,0.95895,0.71939,0.87459,0.45289,0.98157,0.000164982,0.000164982,0.000164982
68,1598.28,0.63653,0.4269,0.97201,0.92964,0.96501,0.9553,0.70333,0.90042,0.46275,0.99198,0.000160269,0.000160269,0.000160269
69,1621.68,0.63808,0.42226,0.97345,0.92999,0.94471,0.95931,0.73035,0.853,0.45822,0.96584,0.000155557,0.000155557,0.000155557
70,1645.65,0.6258,0.39563,0.96422,0.94133,0.96473,0.95904,0.71756,0.87074,0.45469,0.98798,0.000150844,0.000150844,0.000150844
71,1669.02,0.61094,0.41488,0.96962,0.93135,0.97018,0.95652,0.71841,0.884,0.46446,0.99746,0.000146132,0.000146132,0.000146132
72,1692.37,0.6171,0.40556,0.96229,0.92639,0.95754,0.9501,0.71044,0.88788,0.44962,0.99258,0.00014142,0.00014142,0.00014142
73,1715.72,0.62712,0.39507,0.96071,0.9376,0.95518,0.95361,0.71439,0.87551,0.4514,0.9816,0.000136707,0.000136707,0.000136707
74,1739.32,0.61426,0.40368,0.96612,0.94195,0.94681,0.94753,0.71089,0.86343,0.46525,0.97208,0.000131995,0.000131995,0.000131995
75,1762.68,0.62705,0.39994,0.96181,0.92308,0.95192,0.95007,0.71458,0.87003,0.47236,0.97841,0.000127282,0.000127282,0.000127282
76,1786.05,0.62231,0.41113,0.97187,0.92212,0.97091,0.95678,0.71656,0.87307,0.45826,0.98227,0.00012257,0.00012257,0.00012257
77,1809.47,0.604,0.40021,0.96098,0.93919,0.95922,0.95606,0.71425,0.87813,0.47004,0.97804,0.000117858,0.000117858,0.000117858
78,1833.08,0.61377,0.39496,0.95924,0.93422,0.96071,0.95827,0.72305,0.87399,0.4741,0.98846,0.000113145,0.000113145,0.000113145
79,1856.45,0.58971,0.3816,0.94827,0.93786,0.96371,0.95303,0.72335,0.85955,0.45954,0.9732,0.000108433,0.000108433,0.000108433
80,1879.77,0.6006,0.39806,0.95229,0.93721,0.96969,0.95287,0.71709,0.86716,0.45768,0.98006,0.00010372,0.00010372,0.00010372
81,1903.21,0.59676,0.38391,0.94486,0.93247,0.96471,0.96007,0.71393,0.88282,0.46696,0.98938,9.9008e-05,9.9008e-05,9.9008e-05
82,1926.9,0.59963,0.39015,0.95028,0.93165,0.96429,0.95938,0.71651,0.87533,0.45526,0.97858,9.42956e-05,9.42956e-05,9.42956e-05
83,1950.33,0.58201,0.38366,0.94642,0.9371,0.95816,0.95408,0.71591,0.89618,0.46318,0.99178,8.95832e-05,8.95832e-05,8.95832e-05
84,1973.72,0.5896,0.37778,0.95362,0.94052,0.9589,0.95885,0.72356,0.87732,0.45947,0.98171,8.48708e-05,8.48708e-05,8.48708e-05
85,1997.2,0.59315,0.38041,0.94469,0.92037,0.95777,0.95908,0.7093,0.8979,0.46715,0.99776,8.01584e-05,8.01584e-05,8.01584e-05
86,2020.89,0.57929,0.37088,0.9422,0.93508,0.96885,0.95559,0.709,0.88419,0.4559,0.98219,7.5446e-05,7.5446e-05,7.5446e-05
87,2044.32,0.57826,0.37128,0.94631,0.93666,0.95754,0.95828,0.71136,0.88034,0.46043,0.98786,7.07336e-05,7.07336e-05,7.07336e-05
88,2067.71,0.56515,0.36112,0.93913,0.94424,0.96077,0.95614,0.71028,0.88235,0.46363,0.99402,6.60212e-05,6.60212e-05,6.60212e-05
89,2091.14,0.58067,0.37207,0.93738,0.93334,0.95655,0.95987,0.71293,0.88392,0.45899,0.99092,6.13088e-05,6.13088e-05,6.13088e-05
90,2114.85,0.5688,0.3668,0.9397,0.9305,0.94524,0.95122,0.7058,0.8893,0.47389,0.98159,5.65964e-05,5.65964e-05,5.65964e-05
91,2138.82,0.64636,0.36479,0.98507,0.9352,0.9589,0.9505,0.70328,0.88197,0.45982,0.99586,5.1884e-05,5.1884e-05,5.1884e-05
92,2162.08,0.63754,0.34989,0.99266,0.93202,0.95771,0.95419,0.71055,0.88373,0.46654,0.99443,4.71716e-05,4.71716e-05,4.71716e-05
93,2185.37,0.63007,0.3499,0.99906,0.94247,0.94981,0.95258,0.70369,0.89272,0.47621,0.99047,4.24592e-05,4.24592e-05,4.24592e-05
94,2208.94,0.62657,0.34775,0.99636,0.94551,0.95161,0.95501,0.7076,0.87904,0.46908,0.98823,3.77468e-05,3.77468e-05,3.77468e-05
95,2232.26,0.61318,0.3391,0.97854,0.93726,0.9495,0.95897,0.71802,0.8704,0.46388,0.98528,3.30344e-05,3.30344e-05,3.30344e-05
96,2255.51,0.60831,0.33473,0.97852,0.92198,0.95962,0.9568,0.71212,0.87588,0.46828,0.98545,2.8322e-05,2.8322e-05,2.8322e-05
97,2278.77,0.60397,0.3294,0.98469,0.93062,0.95761,0.95666,0.7142,0.87749,0.47687,0.98541,2.36096e-05,2.36096e-05,2.36096e-05
98,2302.25,0.59802,0.32229,0.97601,0.9282,0.95355,0.95546,0.71565,0.88194,0.47795,0.98826,1.88972e-05,1.88972e-05,1.88972e-05
99,2325.53,0.59584,0.33239,0.97349,0.93095,0.9606,0.95667,0.71312,0.87267,0.46904,0.98232,1.41848e-05,1.41848e-05,1.41848e-05
100,2348.77,0.58925,0.32453,0.96584,0.92902,0.95129,0.95459,0.71008,0.87854,0.4692,0.98683,9.4724e-06,9.4724e-06,9.4724e-06
